,created_at,description,friends_count,id,lang,location,name,screen_name,text,time_zone,verified
125,Wed Sep 23 15:41:29 +0000 2015,eso que llaman verdad no es más que la eliminación de errores.,53.0,6.467109873582326e+17,es,,MONTSERRAT SEIJO GRA,SeijoGra,dimite el presidente de   tras el escándalo de las emisiones de gases ,,1.0
126,Wed Sep 23 15:41:29 +0000 2015,emprendedor  escritor y comunicador. cualquier creación humana sea literatura  música o pintura siempre es un autoretrato. #emprendedores #directivos,104.0,6.467109896399708e+17,es,,Robert Ficaro,RobertFicaro,dimite el presidente de   tras el escándalo de las emisiones de gases: el presidente de   m ,belgrade,100.0
127,Wed Sep 23 15:41:30 +0000 2015,fiel creyente de los derechos fundamentales del ser humano  luché por ello y lo haría sin duda nuevamente.,18.0,6.467109907556311e+17,es,el salvador,Jhoana Perla,JhoanaPerla,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,16.0
128,Wed Sep 23 15:41:30 +0000 2015,,0.0,6.467109923076588e+17,es,,Maria Barrera  Ortiz,_barormaria,última hora  el presidente de   dimite tras el escándalo por trucar coches ,,5.0
129,Wed Sep 23 15:41:31 +0000 2015,periodista. dircom clínicas rincón.,1970.0,6.467109950380442e+17,es,málaga,Juan José Morales,elecodeportivo,dimite el presidente de   tras el escándalo de las emisiones de gases: el presidente de   m ,,1115.0
130,Wed Sep 23 15:41:31 +0000 2015,,506.0,6.467109968373391e+17,es,,Armando Rivas,Rivas503A,dimite el presidente de   tras el escándalo de las emisiones de gases: el presidente de   m ,,76.0
131,Wed Sep 23 15:41:31 +0000 2015,luis angel firpo,19.0,6.46710997214847e+17,es,usulután,Cris Rosales,CrisRosales5,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,15.0
132,Wed Sep 23 15:41:32 +0000 2015,microsoft student partner - bahá'í - tech addict/lover - otaku - geek 2.0 - sw and web designer/developer jr. - green thinker - digital graphic,20.0,6.467110025122324e+17,es,el salvador,Dago Portillo,DagoPortillo1,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,15.0
133,Wed Sep 23 15:41:33 +0000 2015,agencia de marketing digital  especializada en el crecimiento acelerado de negocios en internet #ressociales #marketingdigital #seo #sem #contentmarketing,1402.0,6.467110045675889e+17,es,jalisco  mexico,Zoom Mktg Digital,zoomgdl,primera víctima del escándalo de las emisiones: el ceo de   “se quita de en medio” ,central time (us & canada),941.0
134,Wed Sep 23 15:41:34 +0000 2015, alegre - bipolar - ateo - temperamental - extrovertido - libre - ansioso - egocéntrico - vanidoso- pero en una palabra alexis ,25.0,6.467110075496243e+17,es,el salvador,Daniel Portillo,P31Daniel,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,17.0
135,Wed Sep 23 15:41:34 +0000 2015,,113.0,6.467110089799066e+17,es,,Silvia Jimenez,silvia_jim,dimite el presidente de   tras el escándalo de las emisiones de gases: el presidente de   m ,mexico city,55.0
136,Wed Sep 23 15:41:35 +0000 2015,me encanta la politica en general!! en especial la de mi pais es.,22.0,6.467110137446031e+17,es,el salvador,Dennis Pérez,DenniisPerez1,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),17.0
137,Wed Sep 23 15:41:36 +0000 2015,lifestyle & tech editor para @impulsonegocios. traveler / iger / tech addict. siempre hay un viaje programado  un gadget que quiero y una canción que me gusta,331.0,6.467110184633303e+17,es,argentina,Marcos Toscani,marcostoscani,y renunció el ceo de  ,buenos aires,2820.0
138,Wed Sep 23 15:41:37 +0000 2015,god❤ 29. never let them change you. flawless and fancy je parle un peu le français,39.0,6.467110197424988e+17,es,san francisco,Diego Selva,DiegoSelva3,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,23.0
139,Wed Sep 23 15:41:37 +0000 2015,una mañica perdida por barcelona   feliz  amante de los animales   de la cerveza  y soñadora gracias a @_javiercardenas !!,252.0,6.467110209254031e+17,es,,Olga Escudero,ayla0671,que vergüenza falseando datos y engañando de esa forma en españa esto no pasaría lo de dimitir digo  😏 ,ljubljana,163.0
