id,created_at,name,screen_name,verified,followers_count,friends_count,text,description,lang,time_zone,location
646712607940997120,Wed Sep 23 15:47:55 +0000 2015,Financiera FP,FinancieraFP,False,347,299,el ceo de volkswagen  martin winterkorn  anuncia su dimisión por el escándalo de las emisiones - http://t.co/ykrdn3fq9h - el consejero de…,NULL,es,belgrade,
646712608922406912,Wed Sep 23 15:47:55 +0000 2015,Josep Llenas ,JosepLlenasP,False,263,314,rt @wsj: the ceo of volkswagen  martin winterkorn  has resigned in the wake of the emissions scandal. http://t.co/hkgsugwthf http://t.co/9p…,NULL,es,NULL,barcelona
646712611166384128,Wed Sep 23 15:47:56 +0000 2015,wιllιaм anтonιo ,William_Mtnz,False,306,330,rt @noticiascaracol: ampliación renuncia presidente de volkswagen tras escándalo con 11 millones de autos diesel http://t.co/xlqg8n2irf htt…,dios está en los detalles - mies van der rohe,es,bogota,arquitecto - sincelejo  col
646712613494226949,Wed Sep 23 15:47:57 +0000 2015,Daniel Burgos,TouringTest,False,101,282,rt @danielvianar: la cotización de volkswagen repunta tras la dimisión del consejero delegado y ya se anota cerca de un 8%. http://t.co/j65…,padre  algo de marido y...ah!  si: geek.,es,NULL,
646712613968191489,Wed Sep 23 15:47:57 +0000 2015,Jesus Suverza,Jsuverza,False,77,114,volkswagen lied to me when i bought my jetta diesel http://t.co/0aqd3x224e http://t.co/5pt1zqrjzg,contador publico,es,NULL,miami
646712615838715904,Wed Sep 23 15:47:57 +0000 2015,Adal.Doca,Adal_DominguezC,False,626,1296,rt @michelpesquera: también en alemania se cuecen habas #volkswagen a ver qué sanciones les impone el gobierno!  también que se les sancion…,administrador tattomania #instagram adal_doca #motomania,es,mexico city,chiapas mexico
646712616535085057,Wed Sep 23 15:47:57 +0000 2015,Tiempo De Bolsa,tiempodebolsa,False,1388,49,wolfsburgo  la ciudad de volkswagen  teme acabar como el 'detroit europeo' http://t.co/8vochdbe3p #mercados,información al minuto de los principales mercados financieros #bolsa #ibex35 #dowjones #nasdaq #daxx #eurostoxx #merval #igpa #ipc #metales #inmobiliaria,es,NULL,
646712618120515584,Wed Sep 23 15:47:58 +0000 2015,Carlitos Alarcon,carlitosralarc1,False,449,2002,renuncio el ceo de volkswagen despues del escandalo,. independiente es un sentimiento♥♥ rojo es mi pasion ♥♥ cℓυв aтℓєтιcσ iи∂єpєи∂ιєитє ♡  @carlitosralarc1 twitter,es,buenos aires,argentina 
646712618132992000,Wed Sep 23 15:47:58 +0000 2015,Oscar De Juan,OscarOrdonezV,False,178,177,"se quejan del engaño de volkswagen en las emisiones  pero bien que pagan el ""brinco"" cuando verifican sus latas. #doblemoral.",amante del juego más hermoso. tifoso giallorosso hasta la muerte  #forzaroma. entusiasta total de la fórmula 1. melómano empedernido. obsesivo jugador de xbox.,es,central time (us & canada),méxico  d.f.
646712618250563584,Wed Sep 23 15:47:58 +0000 2015,Tiempo De Bolsa,tiempodebolsa,False,1388,49,el ceo de volkswagen  martin winterkorn  anuncia su dimisión por el escándalo de las emisiones http://t.co/whmb5z4rpm #mercados,información al minuto de los principales mercados financieros #bolsa #ibex35 #dowjones #nasdaq #daxx #eurostoxx #merval #igpa #ipc #metales #inmobiliaria,es,NULL,
646712620947533824,Wed Sep 23 15:47:58 +0000 2015,NeoIngenieria,NeoIngenieria,False,39,19,renuncia ceo de volkswagen - martin winterkorn  ceo de volkswagen  renuncio esta mañana luego de que la epa dio a ... http://t.co/edshptztzz,neoingenieria empresa especilizada en el desarrollo de sitios y aplicaciones web con sede en cuenca ecuador,es,NULL,
